D:\Users\INSTR-ADMIN\experiments\Ana\Nutrients\Acer_Nutrients_Plate27.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer_Nutrients_Plate27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-28 09:16:56 AM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Omit,Sample Name,Target Name,Task,Reporter,Quencher,C_,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,MTP,EXPFAIL,HIGHSD,Tm1,Tm2,Tm3,Tm4
F6,0,Sample 12,A,UNKNOWN,SYBR,None,22.358,22.384,0.037,,,,,,,,0,0.200,1,3,16,Amp,,0.997,N,N,N,N,85.382,,,
F7,0,Sample 12,Acer,UNKNOWN,SYBR,None,22.845,22.848,0.005,,,,,,,,0,0.200,1,3,17,Amp,,0.998,N,N,N,N,74.398,,,
F8,0,Sample 12,A,UNKNOWN,SYBR,None,22.410,22.384,0.037,,,,,,,,0,0.200,1,3,17,Amp,,0.997,N,N,N,N,85.530,,,
F9,0,Sample 20,Acer,UNKNOWN,SYBR,None,21.779,21.878,0.141,,,,,,,,0,0.200,1,3,16,Amp,,0.998,N,N,N,N,74.398,,,
F10,0,Sample 20,A,UNKNOWN,SYBR,None,23.438,23.408,0.042,,,,,,,,0,0.200,1,3,18,Amp,,0.972,N,N,N,N,85.382,,,
F11,0,Sample 20,Acer,UNKNOWN,SYBR,None,21.978,21.878,0.141,,,,,,,,0,0.200,1,3,16,Amp,,0.998,N,N,N,N,74.250,,,
F12,0,Sample 20,A,UNKNOWN,SYBR,None,23.379,23.408,0.042,,,,,,,,0,0.200,1,3,18,Amp,,0.992,N,N,N,N,85.530,,,
G1,0,Sample 6,Acer,UNKNOWN,SYBR,None,21.893,22.041,0.209,,,,,,,,0,0.200,1,3,17,Amp,,0.999,N,N,N,N,74.101,,,
G2,0,Sample 6,A,UNKNOWN,SYBR,None,23.250,23.234,0.022,,,,,,,,0,0.200,1,3,17,Amp,,0.936,N,N,N,N,85.233,,,
G3,0,Sample 6,Acer,UNKNOWN,SYBR,None,22.189,22.041,0.209,,,,,,,,0,0.200,1,3,18,Amp,,0.997,N,N,N,N,74.250,,,
G4,0,Sample 6,A,UNKNOWN,SYBR,None,23.219,23.234,0.022,,,,,,,,0,0.200,1,3,18,Amp,,0.954,N,N,N,N,85.382,,,
G5,0,Sample 13,Acer,UNKNOWN,SYBR,None,21.539,21.607,0.096,,,,,,,,0,0.200,1,3,17,Amp,,0.998,N,N,N,N,74.398,,,
G6,0,Sample 13,A,UNKNOWN,SYBR,None,22.394,22.347,0.067,,,,,,,,0,0.200,1,3,17,Amp,,0.986,N,N,N,N,85.233,,,
G7,0,Sample 13,Acer,UNKNOWN,SYBR,None,21.675,21.607,0.096,,,,,,,,0,0.200,1,3,16,Amp,,0.998,N,N,N,N,74.398,,,
G8,0,Sample 13,A,UNKNOWN,SYBR,None,22.299,22.347,0.067,,,,,,,,0,0.200,1,3,17,Amp,,0.995,N,N,N,N,85.530,,,
G9,0,Sample 21,Acer,UNKNOWN,SYBR,None,25.159,24.573,0.829,,,,,,,,0,0.200,1,3,19,Amp,,0.988,N,N,N,Y,74.250,,,
G10,0,Sample 21,A,UNKNOWN,SYBR,None,23.787,23.899,0.159,,,,,,,,0,0.200,1,3,18,Amp,,0.997,N,N,N,N,85.382,,,
G11,0,Sample 21,Acer,UNKNOWN,SYBR,None,23.987,24.573,0.829,,,,,,,,0,0.200,1,3,19,Amp,,0.997,N,N,N,Y,74.398,,,
G12,0,Sample 21,A,UNKNOWN,SYBR,None,24.012,23.899,0.159,,,,,,,,0,0.200,1,3,19,Amp,,0.992,N,N,N,N,85.382,,,
H1,0,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,0,0.200,1,3,34,No Amp,,0.000,Y,N,N,N,60.001,,,
H2,0,+,A,UNKNOWN,SYBR,None,22.786,22.661,0.176,,,,,,,,0,0.200,1,3,18,Amp,,0.993,N,N,N,N,84.936,,,
H3,0,Sample 14,Acer,UNKNOWN,SYBR,None,22.477,22.472,0.008,,,,,,,,0,0.200,1,3,17,Amp,,0.997,N,N,N,N,74.101,,,
H4,0,Sample 14,A,UNKNOWN,SYBR,None,22.443,22.452,0.012,,,,,,,,0,0.200,1,3,18,Amp,,0.996,N,N,N,N,85.085,,,
H5,0,Sample 14,Acer,UNKNOWN,SYBR,None,22.466,22.472,0.008,,,,,,,,0,0.200,1,3,16,Amp,,0.998,N,N,N,N,74.250,,,
H6,0,Sample 14,A,UNKNOWN,SYBR,None,22.461,22.452,0.012,,,,,,,,0,0.200,1,3,17,Amp,,0.995,N,N,N,N,85.233,,,
H7,0,Sample 22,Acer,UNKNOWN,SYBR,None,22.388,22.430,0.059,,,,,,,,0,0.200,1,3,16,Amp,,0.997,N,N,N,N,74.250,,,
H8,0,Sample 22,A,UNKNOWN,SYBR,None,22.277,22.377,0.142,,,,,,,,0,0.200,1,3,16,Amp,,0.997,N,N,N,N,85.530,,,
H9,0,Sample 22,Acer,UNKNOWN,SYBR,None,22.471,22.430,0.059,,,,,,,,0,0.200,1,3,16,Amp,,0.997,N,N,N,N,74.101,,,
H10,0,Sample 22,A,UNKNOWN,SYBR,None,22.478,22.377,0.142,,,,,,,,0,0.200,1,3,18,Amp,,0.992,N,N,N,N,85.233,,,
H11,0,+,Acer,UNKNOWN,SYBR,None,20.867,20.697,0.241,,,,,,,,0,0.200,1,3,17,Amp,,0.995,N,N,N,N,74.250,,,
H12,0,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,0,0.200,1,3,34,No Amp,,0.000,Y,Y,N,N,87.163,77.663,74.101,92.209
