Well,Omit,Sample Name,Target Name,Task,Reporter,Quencher,C_,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,MTP,EXPFAIL,HIGHSD,PRFLOW,NOAMP,Tm1,Tm2,Tm3,Tm4
G12,0,Sample 21,A,UNKNOWN,SYBR,None,25.728,25.648,0.112,,,,,,,,0,0.200,1,3,20,Amp,,0.987,N,Y,N,N,N,N,84.477,75.040,,
H1,0,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,33.914,,,,,,,,,0,0.200,1,3,39,No Amp,,0.000,Y,N,Y,N,N,Y,60.000,,,
H2,0,+,A,UNKNOWN,SYBR,None,24.828,24.970,0.201,,,,,,,,0,0.200,1,3,20,Amp,,0.978,N,N,N,N,N,N,84.330,,,
H3,0,Sample 14,Acer,UNKNOWN,SYBR,None,23.517,23.457,0.085,,,,,,,,0,0.200,1,3,18,Amp,,0.985,N,N,N,N,N,N,73.124,,,
H4,0,Sample 14,A,UNKNOWN,SYBR,None,23.894,24.399,0.714,,,,,,,,0,0.200,1,3,17,Amp,,0.988,N,N,N,Y,N,N,84.625,,,
H5,0,Sample 14,Acer,UNKNOWN,SYBR,None,23.396,23.457,0.085,,,,,,,,0,0.200,1,3,17,Amp,,0.991,N,N,N,N,N,N,72.976,,,
H6,0,Sample 14,A,UNKNOWN,SYBR,None,24.904,24.399,0.714,,,,,,,,0,0.200,1,3,20,Amp,,0.970,N,N,N,Y,N,N,84.330,,,
H7,0,Sample 22,Acer,UNKNOWN,SYBR,None,22.487,22.635,0.210,,,,,,,,0,0.200,1,3,17,Amp,,0.980,N,N,N,N,N,N,73.271,,,
H8,0,Sample 22,A,UNKNOWN,SYBR,None,24.992,25.034,0.059,,,,,,,,0,0.200,1,3,20,Amp,,0.976,N,N,N,N,N,N,84.625,,,
H9,0,Sample 22,Acer,UNKNOWN,SYBR,None,22.784,22.635,0.210,,,,,,,,0,0.200,1,3,17,Amp,,0.986,N,N,N,N,N,N,73.124,,,
H10,0,Sample 22,A,UNKNOWN,SYBR,None,25.076,25.034,0.059,,,,,,,,0,0.200,1,3,20,Amp,,0.959,N,N,N,N,N,N,84.477,,,
H11,0,+,Acer,UNKNOWN,SYBR,None,23.224,23.025,0.282,,,,,,,,0,0.200,1,3,18,Amp,,0.987,N,N,N,N,N,N,73.124,,,
H12,0,NTC,A,UNKNOWN,SYBR,None,39.420,39.420,,,,,,,,,0,0.200,1,3,33,Inconclusive,,0.000,Y,Y,N,N,N,N,75.188,91.260,,
