Spp,Colony,Core,Treatment,Rep,Date,ProK,1st  EtOH,2nd EtOH,DNA,qPCR,Targets,Plate,Sample,Sample_Plate
O. fav,31,31-41,Control,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, B, C, D",Plate8,Sample 13,Sample 13_Plate8.csv
O. fav,31,31-45,Control,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, B, C, D",Plate8,Sample 14,Sample 14_Plate8.csv
O. fav,6,6-9,N,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, B, C, D",Plate9,Sample 1,Sample 1_Plate9.csv
O. fav,6,6-81,N,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, B, C, D",Plate9,Sample 2,Sample 2_Plate9.csv
O. fav,6,6-96,N,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, B, C, D",Plate9,Sample 3,Sample 3_Plate9.csv
O. fav,31,31-25,N,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, B, C, D",Plate9,Sample 4,Sample 4_Plate9.csv
O. fav,31,31-30,N,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, B, C, D",Plate9,Sample 5,Sample 5_Plate9.csv
O. fav,31,31-43,N,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, B, C, D",Plate9,Sample 6,Sample 6_Plate9.csv
O. fav,6,6-61,NP,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, B, C, D",Plate9,Sample 7,Sample 7_Plate9.csv
O. fav,6,6-86,NP,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, B, C, D",Plate9,Sample 8,Sample 8_Plate9.csv
O. fav,6,6-115,NP,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, B, C, D",Plate9,Sample 9,Sample 9_Plate9.csv
O. fav,31,31-17,NP,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, B, C, D",Plate9,Sample 10,Sample 10_Plate9.csv
O. fav,31,31-39,NP,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, B, C, D",Plate9,Sample 11,Sample 11_Plate9.csv
O. fav,31,31-40,NP,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, B, C, D",Plate9,Sample 12,Sample 12_Plate9.csv
O. fav,6,6-40,Control,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, B, C, D",Plate9,Sample 13,Sample 13_Plate9.csv
O. fav,6,6-85,Control,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, B, C, D",Plate9,Sample 14,Sample 14_Plate9.csv
O. fav,6,6-116,Control,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-05-30,"Ofav, B, C, D",Plate10,Sample 1,Sample 1_Plate10.csv
O. fav,31,31-13,Control,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-05-30,"Ofav, B, C, D",Plate10,Sample 2,Sample 2_Plate10.csv
O. fav,31,31-24,Control,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-05-30,"Ofav, B, C, D",Plate10,Sample 3,Sample 3_Plate10.csv
O. fav,31,31-46,Control,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-05-30,"Ofav, B, C, D",Plate10,Sample 4,Sample 4_Plate10.csv
O. fav,6,6-12,N,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-05-30,"Ofav, B, C, D",Plate10,Sample 5,Sample 5_Plate10.csv
O. fav,6,6-19,N,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-05-30,"Ofav, B, C, D",Plate10,Sample 6,Sample 6_Plate10.csv
O. fav,6,6-118,N,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-05-30,"Ofav, B, C, D",Plate10,Sample 7,Sample 7_Plate10.csv
O. fav,31,31-3,N,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-05-30,"Ofav, B, C, D",Plate10,Sample 8,Sample 8_Plate10.csv
O. fav,31,31-8,N,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-05-30,"Ofav, B, C, D",Plate10,Sample 9,Sample 9_Plate10.csv
O. fav,31,31-10,N,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-05-30,"Ofav, B, C, D",Plate10,Sample 10,Sample 10_Plate10.csv
O. fav,6,6-49,NP,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-05-30,"Ofav, B, C, D",Plate10,Sample 11,Sample 11_Plate10.csv
O. fav,6,6-72,NP,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-05-30,"Ofav, B, C, D",Plate10,Sample 12,Sample 12_Plate10.csv
