,Sample.Name,File.Name,B.CT.mean,C.CT.mean,D.CT.mean,Ofav.CT.mean,B.CT.sd,C.CT.sd,D.CT.sd,Ofav.CT.sd,B.reps,C.reps,D.reps,Ofav.reps,B.Ofav,C.Ofav,D.Ofav,Sample.Plate,TotalSH,logB.SH,logC.SH,logD.SH,logSH,Treatment,Replicate,Colony,Core,Date,Sample,D.Prp,C.Prp,B.Prp,Community,RanA
295,Sample 4,Plate7.csv,NA,32.8870452881,28.5670185089,19.8373746872,NA,NA,0.3212412563,0.0533990455,0,1,2,2,0,0,0.0018969026,Sample 4_Plate7.csv,0.0018969026,NA,NA,-2.7219549587,-2.7219549587,Control,R2,34,34-8,2018-01-26,34-8_2018-01-26,1,0,0,D,2
274,Sample 17,Plate6.csv,NA,29.5647567749,27.0850086212,19.2145328522,NA,NA,0.5299416605,0.4699650092,0,1,2,2,0,0,0.0034409661,Sample 17_Plate6.csv,0.0034409661,NA,NA,-2.4633196035,-2.4633196035,NP,R1,34,34-9,2018-01-26,34-9_2018-01-26,1,0,0,D,2
319,Sample 9,Plate9.csv,NA,NA,30.0265378953,20.7790136338,NA,NA,0.0109042326,0.0008645162,0,0,2,2,0,0,0.0013247914,Sample 9_Plate9.csv,0.0013247914,NA,NA,-2.8778525052,-2.8778525052,NP,R1,6,6-115,2018-01-26,6-115_2018-01-26,1,0,0,D,2
1,Sample 1,Plate10.csv,33.650138855,NA,26.2285175324,19.9891672135,0.1085864661,NA,0.0938640662,0.3062369782,2,0,2,2,0.0001865042,0,0.0106585489,Sample 1_Plate10.csv,0.0108450532,-3.7293112961,NA,-1.9723019163,-1.9647683141,Control,R2,6,6-116,2018-01-26,6-116_2018-01-26,0.9828028287,0,0.0171971713,D,2
12,Sample 7,Plate10.csv,NA,NA,24.7741575241,20.3852729798,NA,NA,0.166193453,0.0778577047,0,0,2,2,0,0,0.0384364959,Sample 7_Plate10.csv,0.0384364959,NA,NA,-1.4152562122,-1.4152562122,N,R2,6,6-118,2018-01-26,6-118_2018-01-26,1,0,0,D,2
10,Sample 5,Plate10.csv,28.5109128952,NA,24.7804164887,20.4250888825,0.1577883599,NA,0.0434308101,0.0444908876,2,0,2,2,0.0088915069,0,0.0393410034,Sample 5_Plate10.csv,0.0482325103,-2.0510246296,NA,-1.4051545673,-1.316660134,N,R2,6,6-12,2018-01-26,6-12_2018-01-26,0.815653242,0,0.184346758,D,2
11,Sample 6,Plate10.csv,33.2488822937,NA,25.5368289948,22.9274473191,0.9941423296,NA,0.0830043407,0.3966160058,2,0,2,2,0.0018879453,0,0.1319555097,Sample 6_Plate10.csv,0.133843455,-2.7240105878,NA,-0.8795724714,-0.873402861,N,R2,6,6-19,2018-01-26,6-19_2018-01-26,0.985894377,0,0.014105623,D,2
312,Sample 13,Plate9.csv,NA,NA,29.3243722916,20.350183487,NA,NA,0.2924451807,0.0011167229,0,0,2,2,0,0,0.0016011413,Sample 13_Plate9.csv,0.0016011413,NA,NA,-2.7955703338,-2.7955703338,Control,R2,6,6-40,2018-01-26,6-40_2018-01-26,1,0,0,D,2
3,Sample 11,Plate10.csv,30.3028678894,NA,26.5964975358,21.6159887314,0.4988244737,NA,0.2904733825,0.2608046986,2,0,2,2,0.005861918,0,0.025506281,Sample 11_Plate10.csv,0.031368199,-2.2319602574,NA,-1.5933528607,-1.5035104154,NP,R2,6,6-49,2018-01-26,6-49_2018-01-26,0.8131254508,0,0.1868745492,D,2
309,Sample 9,Plate8.csv,NA,NA,31.0359725952,21.6873397827,NA,NA,0.0140993009,0.0905085027,0,0,2,2,0,0,0.0012351246,Sample 9_Plate8.csv,0.0012351246,NA,NA,-2.9082892119,-2.9082892119,Control,R1,6,6-6,2018-01-26,6-6_2018-01-26,1,0,0,D,2
317,Sample 7,Plate9.csv,NA,NA,29.6571521759,20.8071928024,NA,NA,0.2016682869,0.0321219677,0,0,2,2,0,0,0.0017451246,Sample 7_Plate9.csv,0.0017451246,NA,NA,-2.7581735487,-2.7581735487,NP,R1,6,6-61,2018-01-26,6-61_2018-01-26,1,0,0,D,2
4,Sample 12,Plate10.csv,31.9745922089,NA,24.9423151016,19.822971344,0.6190879771,NA,0.0365052399,0.0013972523,2,0,2,2,0.0005309438,0,0.0231661388,Sample 12_Plate10.csv,0.0236970826,-3.2749514384,NA,-1.635146346,-1.6253051176,NP,R2,6,6-72,2018-01-26,6-72_2018-01-26,0.9775945496,0,0.0224054504,D,2
314,Sample 2,Plate9.csv,NA,NA,29.1575117111,22.0609312058,NA,NA,0.1708950183,0.5640785848,0,0,2,2,0,0,0.0058836399,Sample 2_Plate9.csv,0.0058836399,NA,NA,-2.2303539156,-2.2303539156,N,R1,6,6-81,2018-01-26,6-81_2018-01-26,1,0,0,D,2
5,Sample 13,Plate10.csv,34.6347579956,NA,25.7700681687,18.5743350983,0.2039287066,NA,0.0486759011,0.1825626147,2,0,2,2,3.53493882767157E-05,0,0.0054928557,Sample 13_Plate10.csv,0.0055282051,-4.4516180973,NA,-2.2602018118,-2.2574158555,NP,R2,6,6-82,2018-01-26,6-82_2018-01-26,0.9936056301,0,0.0063943699,D,2
