Spp,Fragment_ID,Date,Nutrient_Treatment,Replicate_Tank,YII,Genotype,Days_in_Experiment,Time_Point,Sample_ID,Phase,Symbiodiniaceae_genus
Ac,Ac_152,2018-02-19,Ambient,R2,0.582,G_31,96,T18,Ac_152_T18,Heat,Symbiodinium
Ac,Ac_157,2018-02-19,Ambient,R1,0.579,G_31,96,T18,Ac_157_T18,Heat,Symbiodinium
Ac,Ac_160,2018-02-19,Ambient,R2,0.56,G_31,96,T18,Ac_160_T18,Heat,Symbiodinium
Ac,Ac_248,2018-02-19,Ambient,R1,0.581,G_31,96,T18,Ac_248_T18,Heat,Symbiodinium
Ac,Ac_176,2018-02-19,Ambient,R1,0.578,G_48,96,T18,Ac_176_T18,Heat,Symbiodinium
Ac,Ac_179,2018-02-19,Ambient,R2,0.559,G_48,96,T18,Ac_179_T18,Heat,Symbiodinium
Ac,Ac_182,2018-02-19,Ambient,R1,0.573,G_48,96,T18,Ac_182_T18,Heat,Symbiodinium
Ac,Ac_186,2018-02-19,Ambient,R2,0.558,G_48,96,T18,Ac_186_T18,Heat,Symbiodinium
Ac,Ac_277,2018-02-19,Ambient,R2,0.582,G_48,96,T18,Ac_277_T18,Heat,Symbiodinium
Ac,Ac_281,2018-02-19,Ambient,R1,0.581,G_48,96,T18,Ac_281_T18,Heat,Symbiodinium
Ac,Ac_284,2018-02-19,Ambient,R2,0.583,G_48,96,T18,Ac_284_T18,Heat,Symbiodinium
Ac,Ac_287,2018-02-19,Ambient,R1,0.583,G_48,96,T18,Ac_287_T18,Heat,Symbiodinium
Ac,Ac_102,2018-02-19,Ambient,R2,0.558,G_50,96,T18,Ac_102_T18,Heat,Symbiodinium
Ac,Ac_105,2018-02-19,Ambient,R1,0.557,G_50,96,T18,Ac_105_T18,Heat,Symbiodinium
Ac,Ac_108,2018-02-19,Ambient,R2,0.57,G_50,96,T18,Ac_108_T18,Heat,Symbiodinium
Ac,Ac_204,2018-02-19,Ambient,R1,0.55,G_50,96,T18,Ac_204_T18,Heat,Symbiodinium
Ac,Ac_116,2018-02-19,Ambient,R1,0.59,G_62,96,T18,Ac_116_T18,Heat,Symbiodinium
Ac,Ac_119,2018-02-19,Ambient,R2,0.555,G_62,96,T18,Ac_119_T18,Heat,Symbiodinium
Ac,Ac_122,2018-02-19,Ambient,R1,0.598,G_62,96,T18,Ac_122_T18,Heat,Symbiodinium
Ac,Ac_125,2018-02-19,Ambient,R2,0.559,G_62,96,T18,Ac_125_T18,Heat,Symbiodinium
Ac,Ac_217,2018-02-19,Ambient,R2,0.558,G_62,96,T18,Ac_217_T18,Heat,Symbiodinium
Ac,Ac_220,2018-02-19,Ambient,R1,0.572,G_62,96,T18,Ac_220_T18,Heat,Symbiodinium
Ac,Ac_226,2018-02-19,Ambient,R1,0.548,G_62,96,T18,Ac_226_T18,Heat,Symbiodinium
Ac,Ac_150,2018-02-19,NH4,R1,0.532,G_31,96,T18,Ac_150_T18,Heat,Symbiodinium
Ac,Ac_154,2018-02-19,NH4,R2,0.477,G_31,96,T18,Ac_154_T18,Heat,Symbiodinium
