Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate28_CD.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-04-18 13:14:46 PM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
F4,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,35.1433906555,34.6576385498,0.6869572401,,,,0,0.02,1,3,31,,N,Y,N,N
F4,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,28.5209598541,28.0781822205,0.6261835098,,,,0,0.02,1,3,26,,N,Y,N,N
F5,Sample 12,Ssid,UNKNOWN,SYBR,None,18.2687835693,18.3692474365,0.1420773566,,,,0,0.02,1,3,17,,N,N,N,N
F6,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,33.3679084778,33.9115715027,0.7688556314,,,,0,0.02,1,3,32,,N,Y,N,N
F6,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,28.8123950958,29.4646339417,0.9224063754,,,,0,0.02,1,3,27,,N,Y,N,N
F7,Sample 12,Ssid,UNKNOWN,SYBR,None,18.4697113037,18.3692474365,0.1420773566,,,,0,0.02,1,3,17,,N,N,N,N
F8,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,34.4552345276,33.9115715027,0.7688556314,,,,0,0.02,1,3,33,,N,Y,N,N
F8,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,30.1168746948,29.4646339417,0.9224063754,,,,0,0.02,1,3,28,,N,Y,N,N
F9,Sample 20,Ssid,UNKNOWN,SYBR,None,17.9453983307,17.8539791107,0.1292863041,,,,0,0.02,1,3,16,,N,N,N,N
F10,Sample 20,C,UNKNOWN,VIC,NFQ-MGB,32.6085662842,32.8664779663,0.3647395074,,,,0,0.02,1,3,31,,N,N,Y,Y
