Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate37_CD.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-05-28 16:30:23 PM EDT,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,NOISE,EXPFAIL
F6,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,31.1522674561,31.5362892151,0.5430901051,,,,0,0.02,1,3,29,,N,Y,N,N,N
F6,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,28.8628139496,29.1431179047,0.3964096606,,,,0,0.02,1,3,27,,N,Y,N,N,N
F7,Sample 12,Ssid,UNKNOWN,SYBR,None,22.3556957245,22.0719528198,0.4012717009,,,,0,0.02,1,3,20,,N,N,N,N,N
F8,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,31.9203128815,31.5362892151,0.5430901051,,,,0,0.02,1,3,30,,N,Y,N,N,N
F8,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,29.4234218597,29.1431179047,0.3964096606,,,,0,0.02,1,3,27,,N,Y,N,N,N
F9,Sample 20,Ssid,UNKNOWN,SYBR,None,21.8690681458,21.9239997864,0.0776864216,,,,0,0.02,1,3,20,,N,N,N,N,N
F10,Sample 20,C,UNKNOWN,VIC,NFQ-MGB,32.5046920776,32.510723114,0.0085291732,,,,0,0.02,1,3,31,,N,N,N,N,N
F10,Sample 20,D,UNKNOWN,FAM,NFQ-MGB,35.6217727661,35.6217727661,,,,,0,0.02,1,3,33,,N,N,N,N,N
F11,Sample 20,Ssid,UNKNOWN,SYBR,None,21.9789333344,21.9239997864,0.0776864216,,,,0,0.02,1,3,20,,N,N,N,N,N
F12,Sample 20,C,UNKNOWN,VIC,NFQ-MGB,32.5167541504,32.510723114,0.0085291732,,,,0,0.02,1,3,31,,N,N,N,N,Y
F12,Sample 20,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.6217727661,,,,,0,0.02,1,3,39,,N,N,N,N,Y
G1,Sample 6,Ssid,UNKNOWN,SYBR,None,21.9259033203,21.7452774048,0.2554422617,,,,0,0.02,1,3,20,,N,N,N,N,N
G2,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,26.981262207,27.1848602295,0.2879324257,,,,0,0.02,1,3,25,,N,Y,N,N,N
G2,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,32.5161476135,32.9899368286,0.6700364351,,,,0,0.02,1,3,31,,N,Y,N,N,N
G3,Sample 6,Ssid,UNKNOWN,SYBR,None,21.5646533966,21.7452774048,0.2554422617,,,,0,0.02,1,3,20,,N,N,N,N,N
G4,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,27.3884601593,27.1848602295,0.2879324257,,,,0,0.02,1,3,26,,N,Y,N,N,N
G4,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,33.463722229,32.9899368286,0.6700364351,,,,0,0.02,1,3,32,,N,Y,N,N,N
G5,Sample 13,Ssid,UNKNOWN,SYBR,None,22.5198516846,22.9172897339,0.5620622635,,,,0,0.02,1,3,20,,N,Y,N,N,N
G6,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,31.5450592041,31.3958263397,0.2110471427,,,,0,0.02,1,3,30,,N,N,N,N,N
G6,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,29.7661380768,29.7556266785,0.0148667106,,,,0,0.02,1,3,28,,N,N,N,N,N
G7,Sample 13,Ssid,UNKNOWN,SYBR,None,23.3147277832,22.9172897339,0.5620622635,,,,0,0.02,1,3,21,,N,Y,N,N,N
