Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plated27_CD.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-04-13 06:39:14 AM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
F6,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,35.0769805908,35.0769805908,,,,,0,0.02,1,3,33,,N,N,N,N
F7,Sample 12,Ssid,UNKNOWN,SYBR,None,19.1338787079,18.8545875549,0.3949786723,,,,0,0.02,1,3,18,,N,N,N,N
F8,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,38.1008415222,,,,,0,0.02,1,3,39,,N,N,Y,Y
F8,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.0769805908,,,,,0,0.02,1,3,39,,N,N,Y,Y
F9,Sample 20,Ssid,UNKNOWN,SYBR,None,16.7526664734,16.6351890564,0.1661394984,,,,0,0.02,1,3,14,,N,N,N,N
F10,Sample 20,C,UNKNOWN,VIC,NFQ-MGB,32.0486869812,32.364074707,0.446022898,,,,0,0.02,1,3,30,,N,N,Y,Y
F10,Sample 20,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
F11,Sample 20,Ssid,UNKNOWN,SYBR,None,16.5177097321,16.6351890564,0.1661394984,,,,0,0.02,1,3,14,,N,N,N,N
F12,Sample 20,C,UNKNOWN,VIC,NFQ-MGB,32.6794586182,32.364074707,0.446022898,,,,0,0.02,1,3,31,,N,N,N,Y
F12,Sample 20,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
G1,Sample 6,Ssid,UNKNOWN,SYBR,None,20.7151851654,20.2075271606,0.7179381847,,,,0,0.02,1,3,19,,N,Y,N,N
