Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate38_CD.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-05-30 10:16:59 AM EDT,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,NOISE,EXPFAIL
F4,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,27.3090896606,27.2578544617,0.0724588633,,,,0,0.02,1,3,25,,N,N,Y,N,Y
F5,Sample 12,Ssid,UNKNOWN,SYBR,None,27.4604263306,28.7023048401,1.7562813759,,,,0,0.02,1,3,26,,N,Y,N,N,N
F6,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,26.9562892914,26.997718811,0.0585888401,,,,0,0.02,1,3,25,,N,Y,N,N,N
F6,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,33.2601776123,33.7788772583,0.7335520983,,,,0,0.02,1,3,31,,N,Y,N,N,N
F7,Sample 12,Ssid,UNKNOWN,SYBR,None,29.9441833496,28.7023048401,1.7562813759,,,,0,0.02,1,3,24,,N,Y,N,Y,N
F8,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,27.0391464233,26.997718811,0.0585888401,,,,0,0.02,1,3,25,,N,Y,N,N,N
F8,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,34.2975769043,33.7788772583,0.7335520983,,,,0,0.02,1,3,33,,N,Y,N,N,N
F9,Sample 20,Ssid,UNKNOWN,SYBR,None,22.6179504395,22.4444046021,0.2454308718,,,,0,0.02,1,3,21,,N,N,N,N,N
F10,Sample 20,C,UNKNOWN,VIC,NFQ-MGB,31.8543758392,31.7670173645,0.1235421896,,,,0,0.02,1,3,30,,N,N,N,N,N
F10,Sample 20,D,UNKNOWN,FAM,NFQ-MGB,26.5059089661,26.6144065857,0.1534388065,,,,0,0.02,1,3,25,,N,N,N,N,N
