Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate12_CD.eds,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-10 14:19:00 PM EST,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL,MTP
F12,Sample 20,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.6566390991,82.7540664673,87.5264892578,,N,N,N,Y,Y
G1,Sample 6,Ssid,UNKNOWN,SYBR,None,20.6282253265,20.8721199036,0.3449176848,,,,0,0.02,1,3,18,76.1998672485,,,,N,N,N,N,N
G2,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,25.4122238159,25.6404876709,0.3228124976,,,,0,0.02,1,3,23,93.1976623535,,,,N,N,N,N,N
G2,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,33.0105171204,32.8849868774,0.1775238812,,,,0,0.02,1,3,31,72.1740722656,,,,N,N,N,N,N
G3,Sample 6,Ssid,UNKNOWN,SYBR,None,21.1160125732,20.8721199036,0.3449176848,,,,0,0.02,1,3,19,76.1944580078,,,,N,N,N,N,N
G4,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,25.8687496185,25.6404876709,0.3228124976,,,,0,0.02,1,3,24,92.8970718384,,,,N,N,N,N,N
G4,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,32.7594604492,32.8849868774,0.1775238812,,,,0,0.02,1,3,31,72.1679382324,,,,N,N,N,N,N
G5,Sample 13,Ssid,UNKNOWN,SYBR,None,22.2144794464,22.02202034,0.2721782923,,,,0,0.02,1,3,20,76.1942214966,,,,N,N,N,N,N
G6,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,30.2567443848,30.069568634,0.2647064924,,,,0,0.02,1,3,29,63.9673156738,,,,N,N,N,N,N
G6,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,29.5136699677,29.466791153,0.066296652,,,,0,0.02,1,3,28,73.2120513916,,,,N,N,N,N,N
G7,Sample 13,Ssid,UNKNOWN,SYBR,None,21.8295612335,22.02202034,0.2721782923,,,,0,0.02,1,3,20,76.1902236938,,,,N,N,N,N,N
G8,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,29.8823928833,30.069568634,0.2647064924,,,,0,0.02,1,3,28,66.0483627319,,,,N,N,N,N,N
G8,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,29.4199123383,29.466791153,0.066296652,,,,0,0.02,1,3,27,71.7158737183,,,,N,N,N,N,N
G9,Sample 21,Ssid,UNKNOWN,SYBR,None,22.1631565094,22.2661743164,0.1456878334,,,,0,0.02,1,3,20,76.1907501221,,,,N,N,N,N,N
G10,Sample 21,C,UNKNOWN,VIC,NFQ-MGB,29.9363307953,30.1955680847,0.3666182458,,,,0,0.02,1,3,28,73.9541702271,,,,N,N,Y,Y,N
G10,Sample 21,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.8050689697,,,,N,N,Y,Y,N
G11,Sample 21,Ssid,UNKNOWN,SYBR,None,22.3691902161,22.2661743164,0.1456878334,,,,0,0.02,1,3,21,76.191986084,,,,N,N,N,N,N
G12,Sample 21,C,UNKNOWN,VIC,NFQ-MGB,30.4548072815,30.1955680847,0.3666182458,,,,0,0.02,1,3,29,77.9816436768,,,,N,N,N,Y,N
G12,Sample 21,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,74.4023284912,,,,N,N,N,Y,N
H1,NTC,Ssid,NTC,SYBR,None,9.9055118561,,,,,,0,0.02,1,3,39,83.3568344116,,,,Y,N,N,N,N
H2,+,C,UNKNOWN,VIC,NFQ-MGB,29.8466148376,29.6964530945,0.2123594284,,,,0,0.02,1,3,28,65.9117279053,,,,N,N,N,N,N
H2,+,D,UNKNOWN,FAM,NFQ-MGB,28.1216964722,27.9750595093,0.2073773295,,,,0,0.02,1,3,26,73.8142089844,,,,N,N,N,N,N
H3,Sample 14,Ssid,UNKNOWN,SYBR,None,21.4662761688,21.3996734619,0.0941917971,,,,0,0.02,1,3,20,76.1944580078,,,,N,N,N,N,N
H4,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,31.8361740112,32.2413368225,0.572986722,,,,0,0.02,1,3,30,92.3005523682,,,,N,Y,N,N,N
H4,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,27.5584125519,27.682888031,0.1760335565,,,,0,0.02,1,3,25,72.3170700073,,,,N,Y,N,N,N
