Fragment,Time1,Time2,Treatment,Replicate,Date,Time_Point,Phase,Genotype,Gen_Treat,Days_Experiment,Days_Survivor,Fu.time_tot,Fu.stat_tot,Fu.time_texp,Fu.stat_exp,HeatStress
Ac_226,82,113,Ambient,R1,03/08/18,T23,Heat,G_62,Ac_62_Ambient,113,227,227,0,113,0,1
Ac_119,82,113,Ambient,R2,03/08/18,T23,Heat,G_62,Ac_62_Ambient,113,227,227,0,113,0,1
Ac_125,82,113,Ambient,R2,03/08/18,T23,Heat,G_62,Ac_62_Ambient,113,227,227,0,113,0,1
Ac_217,82,113,Ambient,R2,03/08/18,T23,Heat,G_62,Ac_62_Ambient,113,227,227,0,113,0,1
Ac_164,82,89,N,R1,02/12/18,T16,Ramping,G_07,Ac_07_N,89,203,203,1,89,1,1
Ac_170,82,96,N,R1,02/19/18,T18,Heat,G_07,Ac_07_N,96,210,210,1,96,1,1
Ac_262,82,92,N,R1,02/15/18,T17,Heat,G_07,Ac_07_N,92,206,206,1,92,1,1
Ac_274,82,92,N,R1,02/15/18,T17,Heat,G_07,Ac_07_N,92,206,206,1,92,1,1
Ac_174,82,96,N,R2,02/19/18,T18,Heat,G_07,Ac_07_N,96,210,210,1,96,1,1
Ac_271,82,96,N,R2,02/19/18,T18,Heat,G_07,Ac_07_N,96,210,210,1,96,1,1
Ac_144,82,92,N,R1,02/15/18,T17,Heat,G_08,Ac_08_N,92,206,206,1,92,1,1
Ac_232,82,92,N,R2,02/15/18,T17,Heat,G_08,Ac_08_N,92,206,206,1,92,1,1
Ac_150,82,99,N,R1,02/22/18,T19,Heat,G_31,Ac_31_N,99,213,213,1,99,1,1
Ac_249,82,103,N,R1,02/26/18,T20,Heat,G_31,Ac_31_N,103,217,217,1,103,1,1
Ac_154,82,99,N,R2,02/22/18,T19,Heat,G_31,Ac_31_N,99,213,213,1,99,1,1
Ac_299,82,103,N,R2,02/26/18,T20,Heat,G_31,Ac_31_N,103,217,217,1,103,1,1
Ac_177,82,110,N,R1,03/05/18,T22,Heat,G_48,Ac_48_N,110,224,224,1,110,1,1
Ac_190,82,110,N,R1,03/05/18,T22,Heat,G_48,Ac_48_N,110,224,224,1,110,1,1
Ac_282,82,110,N,R1,03/05/18,T22,Heat,G_48,Ac_48_N,110,224,224,1,110,1,1
Ac_288,82,110,N,R1,03/05/18,T22,Heat,G_48,Ac_48_N,110,224,224,1,110,1,1
Ac_187,82,110,N,R2,03/05/18,T22,Heat,G_48,Ac_48_N,110,224,224,1,110,1,1
Ac_278,82,106,N,R2,03/01/18,T21,Heat,G_48,Ac_48_N,106,220,220,1,106,1,1
Ac_285,82,106,N,R2,03/01/18,T21,Heat,G_48,Ac_48_N,106,220,220,1,106,1,1
Ac_106,82,92,N,R1,02/15/18,T17,Heat,G_50,Ac_50_N,92,206,206,1,92,1,1
Ac_117,82,110,N,R1,03/05/18,T22,Heat,G_62,Ac_62_N,110,224,224,1,110,1,1
Ac_123,82,110,N,R1,03/05/18,T22,Heat,G_62,Ac_62_N,110,224,224,1,110,1,1
Ac_130,82,106,N,R1,03/01/18,T21,Heat,G_62,Ac_62_N,106,220,220,1,106,1,1
Ac_221,82,110,N,R1,03/05/18,T22,Heat,G_62,Ac_62_N,110,224,224,1,110,1,1
Ac_120,82,103,N,R2,02/26/18,T20,Heat,G_62,Ac_62_N,103,217,217,1,103,1,1
Ac_126,82,106,N,R2,03/01/18,T21,Heat,G_62,Ac_62_N,106,220,220,1,106,1,1
Ac_224,82,110,N,R2,03/05/18,T22,Heat,G_62,Ac_62_N,110,224,224,1,110,1,1
Ac_230,82,106,N,R2,03/01/18,T21,Heat,G_62,Ac_62_N,106,220,220,1,106,1,1
Ac_165,82,99,N_P,R1,02/22/18,T19,Heat,G_07,Ac_07_N_P,99,213,213,1,99,1,1
Ac_171,82,96,N_P,R1,02/19/18,T18,Heat,G_07,Ac_07_N_P,96,210,210,1,96,1,1
Ac_263,82,96,N_P,R1,02/19/18,T18,Heat,G_07,Ac_07_N_P,96,210,210,1,96,1,1
Ac_168,82,92,N_P,R2,02/15/18,T17,Heat,G_07,Ac_07_N_P,92,206,206,1,92,1,1
Ac_175,82,92,N_P,R2,02/15/18,T17,Heat,G_07,Ac_07_N_P,92,206,206,1,92,1,1
Ac_272,82,96,N_P,R2,02/19/18,T18,Heat,G_07,Ac_07_N_P,96,210,210,1,96,1,1
Ac_145,82,96,N_P,R1,02/19/18,T18,Heat,G_08,Ac_08_N_P,96,210,210,1,96,1,1
Ac_233,82,99,N_P,R2,02/22/18,T19,Heat,G_08,Ac_08_N_P,99,213,213,1,99,1,1
Ac_235,82,92,N_P,R2,02/15/18,T17,Heat,G_08,Ac_08_N_P,92,206,206,1,92,1,1
Ac_151,82,96,N_P,R1,02/19/18,T18,Heat,G_31,Ac_31_N_P,96,210,210,1,96,1,1
Ac_250,82,106,N_P,R1,03/01/18,T21,Heat,G_31,Ac_31_N_P,106,220,220,1,106,1,1
Ac_155,82,113,N_P,R2,03/08/18,T23,Heat,G_31,Ac_31_N_P,113,227,227,0,113,0,1
Ac_247,82,103,N_P,R2,02/26/18,T20,Heat,G_31,Ac_31_N_P,103,217,217,1,103,1,1
Ac_178,82,110,N_P,R1,03/05/18,T22,Heat,G_48,Ac_48_N_P,110,224,224,1,110,1,1
Ac_184,82,110,N_P,R1,03/05/18,T22,Heat,G_48,Ac_48_N_P,110,224,224,1,110,1,1
Ac_276,82,106,N_P,R1,03/01/18,T21,Heat,G_48,Ac_48_N_P,106,220,220,1,106,1,1
Ac_289,82,106,N_P,R1,03/01/18,T21,Heat,G_48,Ac_48_N_P,106,220,220,1,106,1,1
Ac_188,82,113,N_P,R2,03/08/18,T23,Heat,G_48,Ac_48_N_P,113,227,227,0,113,0,1
Ac_280,82,110,N_P,R2,03/05/18,T22,Heat,G_48,Ac_48_N_P,110,224,224,1,110,1,1
Ac_286,82,113,N_P,R2,03/08/18,T23,Heat,G_48,Ac_48_N_P,113,227,227,0,113,0,1
Ac_101,82,96,N_P,R1,02/19/18,T18,Heat,G_50,Ac_50_N_P,96,210,210,1,96,1,1
Ac_107,82,96,N_P,R1,02/19/18,T18,Heat,G_50,Ac_50_N_P,96,210,210,1,96,1,1
Ac_104,82,96,N_P,R2,02/19/18,T18,Heat,G_50,Ac_50_N_P,96,210,210,1,96,1,1
Ac_118,82,106,N_P,R1,03/01/18,T21,Heat,G_62,Ac_62_N_P,106,220,220,1,106,1,1
Ac_124,82,110,N_P,R1,03/05/18,T22,Heat,G_62,Ac_62_N_P,110,224,224,1,110,1,1
Ac_222,82,110,N_P,R1,03/05/18,T22,Heat,G_62,Ac_62_N_P,110,224,224,1,110,1,1
Ac_228,82,110,N_P,R1,03/05/18,T22,Heat,G_62,Ac_62_N_P,110,224,224,1,110,1,1
Ac_128,82,113,N_P,R2,03/08/18,T23,Heat,G_62,Ac_62_N_P,113,227,227,0,113,0,1
Ac_225,82,113,N_P,R2,03/08/18,T23,Heat,G_62,Ac_62_N_P,113,227,227,0,113,0,1
Ac_229,82,110,N_P,R2,03/05/18,T22,Heat,G_62,Ac_62_N_P,110,224,224,1,110,1,1
