Genotype,Treatment,Rep,Frag,Date,ProK T=9,1st  EtOH,2nd EtOH,DNA,qPCR,Targets,Plate,Sample,Sample.Plate
Green,NP,R1,276,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate10,Sample 7,Sample 7_Plate10.csv
Green,NP,R1,283,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate10,Sample 8,Sample 8_Plate10.csv
Green,NP,R1,289,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate10,Sample 9,Sample 9_Plate10.csv
Green and Orange,NP,R1,118,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate10,Sample 10,Sample 10_Plate10.csv
Green and Orange,NP,R1,124,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate10,Sample 11,Sample 11_Plate10.csv
Green and Orange,NP,R1,216,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate10,Sample 12,Sample 12_Plate10.csv
Green and Orange,NP,R1,222,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate10,Sample 13,Sample 13_Plate10.csv
Green and Orange,NP,R1,228,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate10,Sample 14,Sample 14_Plate10.csv
Orange,NP,R1,151,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate10,Sample 15,Sample 15_Plate10.csv
Orange,NP,R1,159,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate10,Sample 16,Sample 16_Plate10.csv
Orange,NP,R1,250,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate10,Sample 17,Sample 17_Plate10.csv
Red and Orange,NP,R1,165,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate10,Sample 18,Sample 18_Plate10.csv
Red and Orange,NP,R1,171,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate10,Sample 19,Sample 19_Plate10.csv
Red and Orange,NP,R1,263,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate10,Sample 20,Sample 20_Plate10.csv
Red and Orange,NP,R1,269,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate10,Sample 21,Sample 21_Plate10.csv
Red and Yellow,NP,R1,101,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate10,Sample 22,Sample 22_Plate10.csv
Red and Yellow,NP,R1,107,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate11,Sample 1,Sample 1_Plate11.csv
Red and Yellow,NP,R1,300,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate11,Sample 2,Sample 2_Plate11.csv
Yellow,NP,R1,145,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate11,Sample 3,Sample 3_Plate11.csv
F,NP,R2,140,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate11,Sample 4,Sample 4_Plate11.csv
F,NP,R2,237,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate11,Sample 5,Sample 5_Plate11.csv
Green,NP,R2,181,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate11,Sample 6,Sample 6_Plate11.csv
Green,NP,R2,188,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate11,Sample 7,Sample 7_Plate11.csv
Green,NP,R2,280,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate11,Sample 8,Sample 8_Plate11.csv
Green,NP,R2,286,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate11,Sample 9,Sample 9_Plate11.csv
Green and Orange,NP,R2,121,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate11,Sample 10,Sample 10_Plate11.csv
Green and Orange,NP,R2,128,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate11,Sample 11,Sample 11_Plate11.csv
Green and Orange,NP,R2,219,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate11,Sample 12,Sample 12_Plate11.csv
