"Treatment","Replicate","Fragment","Genotype","Date","Days","Time_Point","Phase","Sample","A.Acer","logA.SH"
"N","R1","Ac_206","Red and Yellow",2017-12-14,29,"T9","Nutrients","206_T9",0.0174884067436446,-1.75724975449855
"N","R1","Ac_221","Green and Orange",2017-12-14,29,"T9","Nutrients","221_T9",0.0408234712374831,-1.3890900698015
"N","R1","Ac_227","Green and Orange",2017-12-14,29,"T9","Nutrients","227_T9",0.0448901482438145,-1.34784896039553
"N","R1","Ac_239","F",2017-12-14,29,"T9","Nutrients","239_T9",0.0186917139043424,-1.7283508749148
"N","R1","Ac_249","Orange",2017-12-14,29,"T9","Nutrients","249_T9",0.0312400954309583,-1.5052876481278
"N","R1","Ac_262","Red and Orange",2017-12-14,29,"T9","Nutrients","262_T9",0.0207469442259845,-1.68304586056738
"N","R1","Ac_268","Red and Orange",2017-12-14,29,"T9","Nutrients","268_T9",0.0304385336635216,-1.5165762729652
"N","R1","Ac_274","Red and Orange",2017-12-14,29,"T9","Nutrients","274_T9",0.0331704563524993,-1.47924855350286
"N","R1","Ac_282","Green",2017-12-14,29,"T9","Nutrients","282_T9",0.0462642839076009,-1.33475415558415
"N","R1","Ac_288","Green",2017-12-14,29,"T9","Nutrients","288_T9",0.0766028920594841,-1.1157548337386
"N","R2","Ac_103","Red and Yellow",2017-12-14,29,"T9","Nutrients","103_T9",0.0284888791174934,-1.54532463755111
"N","R2","Ac_109","Red and Yellow",2017-12-14,29,"T9","Nutrients","109_T9",0.0340321632885237,-1.46811044366329
"N","R2","Ac_120","Green and Orange",2017-12-14,29,"T9","Nutrients","120_T9",0.0340321632885237,-1.46811044366329
"N","R2","Ac_126","Green and Orange",2017-12-14,29,"T9","Nutrients","126_T9",0.0351713048707676,-1.45381151886925
"N","R2","Ac_154","Orange",2017-12-14,29,"T9","Nutrients","154_T9",0.0408234712374831,-1.3890900698015
"N","R2","Ac_167","Red and Orange",2017-12-14,29,"T9","Nutrients","167_T9",0.0397209151046095,-1.40098075463023
"N","R2","Ac_174","Red and Orange",2017-12-14,29,"T9","Nutrients","174_T9",0.0254276627769785,-1.59469355684
"N","R2","Ac_180","Green",2017-12-14,29,"T9","Nutrients","180_T9",0.0392148167994788,-1.40654980955001
"N","R2","Ac_187","Green",2017-12-14,29,"T9","Nutrients","187_T9",0.0255867846025979,-1.59198428687902
"N","R2","Ac_218","Green and Orange",2017-12-14,29,"T9","Nutrients","218_T9",0.0451241219829438,-1.34559123542805
"N","R2","Ac_224","Green and Orange",2017-12-14,29,"T9","Nutrients","224_T9",0.0308313670758654,-1.51100721804541
"N","R2","Ac_230","Green and Orange",2017-12-14,29,"T9","Nutrients","230_T9",0.0579737119056357,-1.23676889199552
"N","R2","Ac_232","Yellow",2017-12-14,29,"T9","Nutrients","232_T9",0.0257379805342815,-1.58942553191588
"N","R2","Ac_234","Yellow",2017-12-14,29,"T9","Nutrients","234_T9",0.0292999633606715,-1.53313292272671
"N","R2","Ac_236","F",2017-12-14,29,"T9","Nutrients","236_T9",0.0191374533446561,-1.71811585506223
"N","R2","Ac_242","F",2017-12-14,29,"T9","Nutrients","242_T9",0.037125201610517,-1.43033117920746
"N","R2","Ac_246","Orange",2017-12-14,29,"T9","Nutrients","246_T9",0.0664559724093365,-1.17746598284972
"N","R2","Ac_265","Red and Orange",2017-12-14,29,"T9","Nutrients","265_T9",0.0364368656180297,-1.43845898909039
"N","R2","Ac_271","Red and Orange",2017-12-14,29,"T9","Nutrients","271_T9",0.0259799537157258,-1.58536162697441
"N","R2","Ac_278","Green",2017-12-14,29,"T9","Nutrients","278_T9",0.0350010659712423,-1.4559187288389
"N","R2","Ac_285","Green",2017-12-14,29,"T9","Nutrients","285_T9",0.0322298809758888,-1.49174129832292
"N","R2","Ac_299","Orange",2017-12-14,29,"T9","Nutrients","299_T9",0.0222283191666392,-1.65309337599881
"N+P","R1","Ac_101","Red and Yellow",2017-12-14,29,"T9","Nutrients","101_T9",0.0400665658639896,-1.39721787968443
"N+P","R1","Ac_107","Red and Yellow",2017-12-14,29,"T9","Nutrients","107_T9",0.0308848400812167,-1.51025464305625
"N+P","R1","Ac_118","Green and Orange",2017-12-14,29,"T9","Nutrients","118_T9",0.0414507688143585,-1.38246740989689
"N+P","R1","Ac_124","Green and Orange",2017-12-14,29,"T9","Nutrients","124_T9",0.088421601243879,-1.05344162463616
"N+P","R1","Ac_138","F",2017-12-14,29,"T9","Nutrients","138_T9",0.0298948891327022,-1.52440305285246
"N+P","R1","Ac_145","Yellow",2017-12-14,29,"T9","Nutrients","145_T9",0.0547515140611012,-1.2616038666378
"N+P","R1","Ac_151","Orange",2017-12-14,29,"T9","Nutrients","151_T9",0.0613855402860075,-1.21193391735325
"N+P","R1","Ac_159","Orange",2017-12-14,29,"T9","Nutrients","159_T9",0.0358481547773835,-1.4455331939885
"N+P","R1","Ac_165","Red and Orange",2017-12-14,29,"T9","Nutrients","165_T9",0.042778884417585,-1.36877054509418
"N+P","R1","Ac_171","Red and Orange",2017-12-14,29,"T9","Nutrients","171_T9",0.0542039827533576,-1.26596880157493
"N+P","R1","Ac_178","Green",2017-12-14,29,"T9","Nutrients","178_T9",0.0451710628683136,-1.34513969043456
"N+P","R1","Ac_184","Green",2017-12-14,29,"T9","Nutrients","184_T9",0.110302903365251,-0.95741305601935
"N+P","R1","Ac_191","F",2017-12-14,29,"T9","Nutrients","191_T9",0.0305759825606694,-1.51461957799338
"N+P","R1","Ac_216","Green and Orange",2017-12-14,29,"T9","Nutrients","216_T9",0.0589462019823748,-1.22954417209959
"N+P","R1","Ac_222","Green and Orange",2017-12-14,29,"T9","Nutrients","222_T9",0.115586328427005,-0.937093531312032
"N+P","R1","Ac_228","Green and Orange",2017-12-14,29,"T9","Nutrients","228_T9",0.0708073370787419,-1.14992173824647
"N+P","R1","Ac_240","F",2017-12-14,29,"T9","Nutrients","240_T9",0.0457857565234402,-1.33926960551911
