"","Sample","Treatment","Replicate","Genotype","Fragment","Date","Days","A.Acer","logA.SH"
"242","268_2018-02-05","N","R1","Red and Orange",268,2018-02-05,82,0.0520733377043393,-1.28338458479559
"243","234_2018-02-05","N","R2","Yellow",234,2018-02-05,82,0.203300925956245,-0.691860643315863
"244","288_2018-03-01","N","R1","Green",288,2018-03-01,106,0.0775646266117816,-1.11033629381665
"245","124_2018-03-01","NP","R1","Green and Orange",124,2018-03-01,106,0.0343521134420093,-1.46404653872183
"246","222_2018-03-01","NP","R1","Green and Orange",222,2018-03-01,106,0.205547349070204,-0.687088119913094
"247","228_2018-03-01","NP","R1","Green and Orange",228,2018-03-01,106,0.0230121991491725,-1.63804187621561
"248","282_2018-03-02","N","R1","Green",282,2018-03-02,107,0.0576931030128899,-1.23887610196517
"249","288_2018-03-02","N","R1","Green",288,2018-03-02,107,0.0518699457414822,-1.28508420629959
"250","123_2018-03-02","N","R1","Green and Orange",123,2018-03-02,107,0.0433459998172261,-1.36305097517656
"251","221_2018-03-02","N","R1","Green and Orange",221,2018-03-02,107,0.0527035031866235,-1.27816051639932
"252","178_2018-03-02","NP","R1","Green",178,2018-03-02,107,0.168409178096872,-0.773634243666489
"253","190_2018-03-03","N","R1","Green",190,2018-03-03,108,0.038314722599927,-1.41663431440475
"254","117_2018-03-03","N","R1","Green and Orange",117,2018-03-03,108,0.0384477416810053,-1.41512916442643
"255","121_2018-02-05","NP","R2","Green and Orange",121,2018-02-05,82,0.518598051667894,-0.285169119173825
"256","266_2018-02-05","NP","R2","Red and Orange",266,2018-02-05,82,0.206997993907092,-0.684033863428599
"257","276_2018-02-26","NP","R1","Green",276,2018-02-26,103,0.0457223279628381,-1.33987166551044
"258","289_2018-02-26","NP","R1","Green",289,2018-02-26,103,0.0749224906838109,-1.12538779359985
"259","118_2018-02-26","NP","R1","Green and Orange",118,2018-02-26,103,0.055727864128554,-1.25392760174837
"260","139_2018-03-01","Control","R2","F",139,2018-03-01,106,0.0214637009729,-1.66829539077984
"261","287_2018-03-06","Control","R1","Green",287,2018-03-06,111,0.0681823753191072,-1.16632787301015
"262","116_2018-03-06","Control","R1","Green and Orange",116,2018-03-06,111,0.0471219375418447,-1.32677686069906
"263","122_2018-03-06","Control","R1","Green and Orange",122,2018-03-06,111,0.0616413671793973,-1.21012773737926
"264","220_2018-03-06","Control","R1","Green and Orange",220,2018-03-06,111,0.0383545799294992,-1.41618276941126
"265","231_2018-03-06","Control","R2","Yellow",231,2018-03-06,111,0.0624152626691557,-1.20470919745731
"266","188_2018-03-06","NP","R2","Green",188,2018-03-06,111,0.0247066406349066,-1.60718630166005
"267","248_2018-03-06","Control","R1","Orange",248,2018-03-06,111,0.0224217496397152,-1.64933050105301
"268","162_2018-03-06","Control","R1","Red and Orange",162,2018-03-06,111,0.0594385474756403,-1.22593181215162
