Sample,TotalSH,logSH,D.Prp,Community,Previous sample
Of_20-30_T22,0.02967789841654,-1.52756685603502,1,D,Of_20-30_T22
Of_6-112_T22,0.027766316684369,-1.55648172737069,1,D,Of_6-112_T22
Of_6-83_T22,0.019268838087698,-1.71514447254304,1,D,Of_6-83_T22
Of_34-23_T22,0.062012103607996,-1.20752353603172,1,D,Of_34-23_T22
Of_34-8_T22,0.074143115527984,-1.12992916866816,1,D,Of_34-8_T22
Of_20-3_T22,0.016371970374397,-1.7858990498958,1,D,Of_20-3_T22
Of_20-4_T22,0.015422521861993,-1.81184460545513,1,D,Of_20-4_T22
Of_6-85_T22,0.040298430696456,-1.39471186584747,1,D,Of_6-85_T22
Of_34-44_T22,0.091867283750017,-1.03683912426716,1,D,Of_34-44_T22
Of_34-5_T22,0.012791716719367,-1.89307116688049,1,D,Of_34-5_T22
Of_20-2_T22,0.174349405652576,-0.758579528771208,1,D,Of_20-2_T22
Of_20-46_T22,0.031198531618402,-1.50586584588644,1,D,Of_20-46_T22
Of_6-9_T22,0.090085133058347,-1.04534687565212,1,D,Of_6-9_T22
Of_6-96_T22,0.049860072810482,-1.30224709163314,1,D,Of_6-96_T22
Of_34-24_T22,0.07072495919692,-1.15042729442675,1,D,Of_34-24_T22
Of_20-29_T22,0.022843028463858,-1.64124631907975,1,D,Of_20-29_T22
Of_20-41_T22,0.01510919820863,-1.82075858151185,1,D,Of_20-41_T22
Of_6-12_T22,0.1752267090057,-0.756399695601085,1,D,Of_6-12_T22
Of_34-22_T22,0.095466398177279,-1.02014946249052,1,D,Of_34-22_T22
Of_34-9_T22,0.003075798195489,-2.51204216219329,1,D,Of_34-9_T22
Of_20-17_T22,0.106743354018732,-0.971659155205445,1,D,Of_20-17_T22
Of_20-34_T22,0.381248906812386,-0.418791392933103,1,D,Of_20-34_T22
Of_6-115_T22,0.119822835454423,-0.921460407599605,1,D,Of_6-115_T22
Of_6-61_T22,0.526422675695201,-0.278665411724656,1,D,Of_6-61_T22
Of_34-21_T22,0.145791314946078,-0.836268346960016,1,D,Of_34-21_T22
Of_34-32_T22,0.070082023386884,-1.15439336784065,1,D,Of_34-32_T22
