Spp,Treatment,Replicate,Fragment,Genotype,Date,Days,Time_Point,Phase,Sample,A.Host,logA.SH,B.Host,C.Host,D.Host,TotalSH,logB.SH,logC.SH,logD.SH,logSH,D.Prp,Community
A.cer,N+P,R1,Ac_250,Orange,2017-11-15,0,T5,Baseline,Ac_250_T5,0.12003630088158,-0.920687396548345,0,0,0,0.12003630088158,NA,NA,NA,-0.920687396548345,,A
A.cer,N+P,R1,Ac_263,Red and Orange,2017-11-15,0,T5,Baseline,Ac_263_T5,0.428106804262091,-0.368447869502771,0,0,0,0.428106804262091,NA,NA,NA,-0.368447869502771,,A
A.cer,N+P,R1,Ac_269,Red and Orange,2017-11-15,0,T5,Baseline,Ac_269_T5,0.278267180866849,-0.555538011807935,0,0,0,0.278267180866849,NA,NA,NA,-0.555538011807935,,A
A.cer,N+P,R1,Ac_276,Green,2017-11-15,0,T5,Baseline,Ac_276_T5,0.242413621147763,-0.615442980945067,0,0,0,0.242413621147763,NA,NA,NA,-0.615442980945067,,A
A.cer,N+P,R1,Ac_283,Green,2017-11-15,0,T5,Baseline,Ac_283_T5,0.250614652427727,-0.600993541153195,0,0,0,0.250614652427727,NA,NA,NA,-0.600993541153195,,A
A.cer,N+P,R1,Ac_289,Green,2017-11-15,0,T5,Baseline,Ac_289_T5,0.281858439480406,-0.549968956888152,0,0,0,0.281858439480406,NA,NA,NA,-0.549968956888152,,A
A.cer,N+P,R1,Ac_300,Red and Yellow,2017-11-15,0,T5,Baseline,Ac_300_T5,0.02679379361696,-1.57196579216737,0,0,0,0.02679379361696,NA,NA,NA,-1.57196579216737,,A
A.cer,N+P,R2,Ac_104,Red and Yellow,2017-11-15,0,T5,Baseline,Ac_104_T5,0.152517074736628,-0.816681533046438,0,0,0,0.152517074736628,NA,NA,NA,-0.816681533046438,,A
A.cer,N+P,R2,Ac_110,Red and Yellow,2017-11-15,0,T5,Baseline,Ac_110_T5,0.176414698191657,-0.753465233957002,0,0,0,0.176414698191657,NA,NA,NA,-0.753465233957002,,A
A.cer,N+P,R2,Ac_121,Green and Orange,2017-11-15,0,T5,Baseline,Ac_121_T5,0.193652585827268,-0.712976699540197,0,0,0,0.193652585827268,NA,NA,NA,-0.712976699540197,,A
